,decision_tree,gradient_boosting,knn,logreg,mlp,naive_bayes,random_forest,svm
2,90.2421875,,90.359375,92.16796875,349.05859375,,89.67578125,90.7578125
3,96.7890625,,96.546875,96.97265625,355.98828125,,96.8984375,102.62109375
6,101.58203125,267.91015625,101.265625,102.87890625,367.66796875,101.59375,101.34765625,102.8359375
11,87.16015625,107.96875,87.1484375,88.51953125,347.625,87.23046875,87.2109375,87.49609375
12,104.3203125,149.7890625,104.33203125,104.4609375,376.6484375,103.86328125,104.3203125,104.03125
14,93.3203125,147.80078125,93.44921875,94.69140625,361.28125,93.5234375,93.5390625,93.30859375
15,87.640625,93.59765625,87.47265625,89.76171875,346.70703125,87.23828125,87.18359375,87.93359375
16,92.57421875,145.921875,92.6640625,93.7890625,356.34375,92.703125,92.33984375,92.68359375
18,88.34375,173.4921875,88.1171875,90.125,347.21484375,88.01953125,88.1796875,89.05859375
20,126.33203125,,126.27734375,126.2265625,589.76953125,,126.6796875,126.5078125
21,88.86328125,,88.56640625,90.82421875,353.9453125,,88.78515625,91.6015625
22,91.4296875,148.89453125,91.40625,92.84375,354.125,91.07421875,91.5625,91.53125
23,88.8671875,,88.7109375,91.22265625,350.08984375,,88.515625,91.6171875
24,102.26953125,,102.23828125,102.07421875,361.82421875,,102.20703125,143.421875
28,101.140625,151.5625,101.09765625,102.078125,360.78515625,101.546875,101.140625,101.421875
29,88.46875,,88.2421875,90.13671875,348.40234375,,88.2734375,88.9375
31,89.39453125,,89.1796875,91.41015625,352.05078125,,89.296875,91.28125
32,95.46875,150.7109375,95.6015625,97.23046875,358.09765625,95.2578125,95.3359375,95.58203125
36,89.40625,128.35546875,88.96875,91.27734375,350.953125,89.56640625,89.2265625,89.41015625
37,87.3515625,94.74609375,87.56640625,89.5390625,347.1640625,87.2421875,87.1484375,88.85937
41,89.984375,,90.296875,91.55859375,358.6875,,89.3203125,90.3671875
43,98.11328125,106.77734375,97.9921875,99.10546875,358.19140625,98.046875,98.234375,114.1015625
45,103.61328125,,103.4921875,103.76953125,387.99609375,,103.51953125,103.5
49,88.18359375,,88.26953125,90.66796875,348.65234375,,88.16796875,90.0234375
53,88.49609375,112.5,88.1640625,90.30078125,353.2265625,88.18359375,88.41796875,89.08984375
58,95.453125,113.16015625,95.390625,96.6640625,355.63671875,95.02734375,95.29296875,102.546875
219,115.0546875,,115.0234375,115.328125,371.8828125,,115.1953125,324.5390625
2074,96.3515625,130.66015625,96.65234375,97.6953125,357.359375,96.59765625,96.62890625,98.82421875
2075,90.45703125,,90.65234375,92.12890625,356.31640625,,90.4921875,94.5546875
2079,89.19140625,,88.671875,90.796875,355.78515625,,88.84375,89.375
3021,95.56640625,,95.4453125,95.54296875,355.2421875,,95.41015625,99.53125
3022,89.26953125,,88.95703125,91.07421875,352.21484375,,88.77734375,89.234375
3481,274.37890625,317.9921875,274.39453125,274.046875,552.62890625,274.01171875,274.140625,273.97265625
3485,134.47265625,,134.07421875,134.078125,411.08203125,,134.2265625,134.15625
3492,87.87109375,,87.66015625,89.38671875,346.6953125,,87.94921875,88.5703125
3493,87.4375,,87.4375,89.31640625,350.03515625,,88.2890625,88.52734375
3494,87.98828125,,87.66796875,89.70703125,347.06640625,,87.80859375,88.6640625
3510,93.546875,146.75,93.40625,95.4921875,356.96484375,93.890625,93.4296875,94.51171875
3512,88.96875,120.828125,88.66015625,90.2421875,353.53125,88.6796875,89.4609375,89.53125
3543,87.74609375,,87.86328125,89.421875,348.32421875,,87.41015625,87.7265625
3549,89.5625,110.5390625,89.484375,91.4375,355.76171875,89.33203125,89.640625,89.51171875
3560,87.70703125,,87.75390625,89.81640625,352.0078125,,87.8046875,88.40625
3561,87.92578125,,88.40625,89.65234375,349.015625,,88.05859375,89.6914062
3567,89.109375,,88.421875,90.546875,352.39453125,,88.77734375,89.609375
3889,206.51171875,206.640625,206.484375,206.51953125,423.94921875,206.63671875,206.66015625,214.91015625
3891,215.93359375,215.87890625,215.5390625,215.7578125,557.13671875,215.8671875,215.82421875,215.96875
3896,96.35546875,106.1953125,96.1171875,97.28515625,358.2265625,96.40625,96.37109375,122.66015625
3899,91.58203125,105.6015625,91.5078125,94.13671875,353.88671875,91.45703125,91.36328125,295.26171875
3902,89.796875,100.6328125,89.71875,91.87890625,351.92578125,89.41015625,89.23828125,90.609375
3903,89.828125,102.15625,89.9140625,91.921875,350.75,90.0078125,89.93359375,91.28125
3904,96.75390625,127.6484375,96.90625,97.91796875,357.69921875,97.1015625,97.13671875,277.8359375
3913,87.8046875,99.62109375,88.046875,90.30078125,348.78515625,88.20703125,87.9921875,88.140625
3917,89.5546875,107.921875,89.578125,91.08203125,350.1328125,89.57421875,89.43359375,94.59765625
3918,88.90625,101.07421875,88.9609375,90.640625,354.8984375,88.48828125,88.8125,89.109375
3946,541.5234375,,541.3671875,541.234375,7909.8203125,,541.31640625,571.703125
3948,541.3984375,,541.265625,541.0546875,7901.03515625,,541.1328125,571.4921875
3954,97.21484375,119.28125,97.2265625,99.1171875,356.76953125,97.296875,97.390625,301.0234375
7592,136.77734375,,136.3359375,136.62890625,388.05078125,,136.55859375,356.7265625
9914,89.1875,94.7734375,89.4609375,91.15234375,348.09375,89.26953125,89.3515625,96.0703125
9946,88.35546875,93.1484375,87.96484375,90.0078125,351.38671875,88.421875,88.2890625,88.61328125
9950,117.19921875,213.45703125,117.51953125,117.45703125,521.12109375,117.25390625,117.45703125,117.546875
9952,89.45703125,101.015625,89.3359375,91.6171875,350.33984375,89.27734375,89.3515625,128.44140625
9954,91.58203125,638.91015625,91.5078125,93.24609375,372.953125,91.66796875,91.375,93.24609375
9955,91.51171875,639.796875,91.640625,93.30078125,369.9765625,91.67578125,91.65234375,93.4453125
9956,91.26171875,638.7734375,91.40625,93.10546875,369.78125,91.12890625,91.12109375,93.01953125
9957,89.55078125,94.71484375,89.10546875,91.3828125,357.3203125,89.25,89.08203125,90.6328125
9960,93.12109375,112.95703125,93.21875,94.87890625,353.19140625,93.0546875,93.0390625,112.171875
9964,104,150.79296875,103.9375,104.08203125,383.671875,103.90234375,104.03515625,104.22265625
9967,90.04296875,93.59765625,90.2109375,92.43359375,352.171875,90.29296875,90.14453125,91.25
9968,99.62109375,,99.66796875,102.37890625,368.6953125,,99.74609375,106.4609375
9970,92.6796875,97.30078125,92.4609375,93.4921875,359.546875,92.82421875,92.625,95.13671875
9971,88.57421875,,87.80859375,90.1796875,348,,88.00390625,88.64453125
9976,138.8203125,138.50390625,138.66796875,138.6953125,452.12109375,138.91796875,138.73046875,138.62109375
9977,337.5234375,,337.51171875,337.640625,543.89453125,,337.7109375,444.671875
9978,94.46484375,96.87109375,94.41015625,95.625,356.25390625,94.21484375,94.13671875,95.49609375
9979,90.60546875,143.44140625,90.5078125,92.12109375,356.53125,90.63671875,90.52734375,90.8671875
9980,87.64453125,93.25,87.84375,89.47265625,349.22265625,87.76953125,87.6953125,87.8046875
9981,124.6171875,155.859375,124.8828125,124.77734375,496.79296875,124.81640625,124.55078125,124.8203125
9983,97.37109375,106.328125,97.2890625,98.5625,352.43359375,97.046875,97.24609375,296.46875
9985,100.31640625,279.15625,100.07421875,100.02734375,361.90234375,99.8984375,99.984375,119.4609375
9986,161.8125,161.89453125,161.94921875,161.9921875,399.06640625,161.9921875,161.9375,162.02734375
10093,87.2578125,93.03125,87.23046875,89.33203125,344.0078125,87.484375,87.23828125,88.359375
10101,87.30859375,113.47265625,86.91015625,89.171875,347.59765625,87.296875,87.4140625,88.22265625
14964,91.125,276.83203125,90.91015625,93.08203125,355.078125,90.9375,90.50390625,109.34765625
14965,137.9765625,,137.61328125,138.0625,377.0703125,,138.12890625,358.09765625
14966,352.44140625,352.20703125,352.046875,352.61328125,704.88671875,352.33984375,352.46875,352.19140625
14967,94,,93.58203125,93.7578125,358.609375,,93.8125,94.09765625
14968,89.4140625,,88.9609375,91.73828125,363.43359375,,89.265625,89.82421875
14969,99.98046875,145.93359375,100.125,101.1171875,356.91796875,100.27734375,100.28515625,164.60546875
14970,320.375,320.3828125,320.51171875,320.03515625,543.23828125,320.1484375,320.33203125,320.17578125
14971,107.5703125,135.25390625,107.6796875,107.52734375,359.76171875,107.5625,107.66015625,359.75390625
34536,291.46875,290.9921875,291.1875,291.40234375,647.06640625,291.50390625,291.421875,291.30078125
34537,114.94140625,,115.30078125,114.77734375,368.07421875,,114.7578125,177.7109375
34538,93.8984375,,93.9140625,94.61328125,512.0859375,,93.72265625,93.48828125
34539,116.55078125,,116.4921875,116.5859375,1911.1171875,,116.51953125,373.08984375
125920,88.27734375,,87.90625,90.078125,361.71875,,88.296875,88.90625
125921,87.18359375,345.3359375,87.3984375,89.35546875,350.046875,87.09765625,87.24609375,87.04296875
125922,95.98046875,154.84375,96.10546875,97.015625,356.20703125,95.90234375,95.8125,95.8125
125923,87.54296875,94.24609375,87.60546875,89.13671875,350.1171875,87.58984375,87.7578125,88.5078125
146195,321.76171875,,322.48828125,322.28515625,506.33203125,,322.4296875,432.0234375
